chamber,bioguide,last_name,state,district,party,votes,agree_pct,predicted_agree,net_trump_vote
house,C001051,Carter,TX,31,Republican,88,0.977272727272727,0.86635099,12.7
house,C001053,Cole,OK,4,Republican,88,0.988636363636364,0.93992582,37.4
house,C001059,Costa,CA,16,Democrat,84,0.488095238095238,0.2900626,-21.6
house,C001061,Cleaver,MO,5,Democrat,84,0.178571428571429,0.40662708,-13.5
house,C001062,Conaway,TX,11,Republican,90,0.988888888888889,0.9421619,58.7
house,C001063,Cuellar,TX,28,Democrat,90,0.688888888888889,0.31517799,-19.8
house,C001066,Castor,FL,14,Democrat,88,0.215909090909091,0.33388701,-18.2
house,C001067,Clarke,NY,9,Democrat,89,0.0898876404494382,0.14337128,-69.1
house,C001068,Cohen,TN,9,Democrat,89,0.168539325842697,0.1565061,-57.7
house,C001069,Courtney,CT,2,Democrat,88,0.261363636363636,0.61473546,-2.9
house,C001072,Carson,IN,7,Democrat,83,0.168674698795181,0.28180636,-22.8
house,C001076,Chaffetz,UT,3,Republican,31,1,0.98638024,23.9
house,C001077,Coffman,CO,6,Republican,90,0.955555555555556,0.49168037,-8.9
house,C001078,Connolly,VA,11,Democrat,89,0.258426966292135,0.19299454,-39.4
house,C001080,Chu,CA,27,Democrat,89,0.134831460674157,0.19858689,-37.6
house,C001084,Cicilline,RI,1,Democrat,89,0.202247191011236,0.25782404,-25.6
house,C001087,Crawford,AR,1,Republican,89,0.97752808988764,0.93941931,34.8
house,C001090,Cartwright,PA,17,Democrat,89,0.292134831460674,0.84110696,10.1
house,C001091,Castro,TX,20,Democrat,88,0.181818181818182,0.24687782,-26.7
house,C001092,Collins,NY,27,Republican,88,0.988636363636364,0.92560858,24.5
house,C001093,Collins,GA,9,Republican,87,0.977011494252874,0.94205306,58.5
house,C001094,Cook,CA,8,Republican,90,0.977777777777778,0.88667924,15.1
house,C001096,Cramer,ND,0,Republican,85,0.988235294117647,0.94131559,35.72888837
house,C001097,Cárdenas,CA,29,Democrat,86,0.174418604651163,0.15592348,-60.9
house,C001101,Clark,MA,5,Democrat,84,0.154761904761905,0.19264152,-43.6
house,C001103,Carter,GA,1,Republican,84,0.976190476190476,0.88568056,15.5
house,C001105,Comstock,VA,10,Republican,89,0.97752808988764,0.46474318,-10
house,C001106,Costello,PA,6,Republican,86,0.953488372093023,0.67729268,-0.6
house,C001107,Curbelo,FL,26,Republican,85,0.823529411764706,0.359736,-16.1
house,C001108,Comer,KY,1,Republican,90,0.922222222222222,0.94275082,48.5
house,C001109,Cheney,WY,0,Republican,90,0.955555555555556,0.94272009,46.29527573
house,C001110,Correa,CA,46,Democrat,90,0.355555555555556,0.19556298,-38.4
house,C001111,Crist,FL,13,Democrat,87,0.413793103448276,0.61143277,-3.2
house,C001112,Carbajal,CA,24,Democrat,86,0.36046511627907,0.30657547,-20.2
house,C001114,Curtis,UT,3,Republican,39,0.948717948717949,0.90128245,23.9
house,C001115,Cloud,TX,27,Republican,5,1,0.99028631,23.6
house,D000096,Davis,IL,7,Democrat,80,0.125,0.11613742,-78.2
house,D000191,DeFazio,OR,4,Democrat,85,0.235294117647059,0.6699301,-0.1
house,D000197,DeGette,CO,1,Democrat,84,0.119047619047619,0.14683271,-45.8
house,D000216,DeLauro,CT,3,Democrat,86,0.197674418604651,0.36606495,-15.5
house,D000399,Doggett,TX,35,Democrat,90,0.155555555555556,0.21378036,-33.6
house,D000482,Doyle,PA,14,Democrat,88,0.215909090909091,0.20458465,-35.9
house,D000533,Duncan,TN,2,Republican,89,0.797752808988764,0.93982965,35.4
house,D000598,Davis,CA,53,Democrat,89,0.202247191011236,0.20813913,-34.9
house,D000600,Diaz-Balart,FL,25,Republican,87,0.942528735632184,0.71246639,1.7
house,D000604,Dent,PA,15,Republican,71,0.929577464788732,0.80587737,7.6
house,D000610,Deutch,FL,22,Democrat,86,0.197674418604651,0.35241152,-15.8
house,D000612,Denham,CA,10,Republican,89,0.97752808988764,0.6136466,-3
house,D000614,Duffy,WI,7,Republican,87,0.942528735632184,0.914954,20.5
house,D000615,Duncan,SC,3,Republican,89,0.898876404494382,0.94074823,38
house,D000616,DesJarlais,TN,4,Republican,90,0.911111111111111,0.94221124,41.2
house,D000617,DelBene,WA,1,Democrat,89,0.224719101123595,0.35672012,-16.3
